label	topic_id	annotator1	annotator2	annotator3	annotator4	annotator5	annotator6	annotator7	annotator8	annotator9	annotator10
os x	2.0	2	1	2.0	2.0	0.0	0.0	1.0			
windows 7	2.0	1	3	2.0	2.0	3.0	2.0	1.0			
windows vista	2.0	1	0	2.0	3.0	3.0					
microsoft office	2.0	3	2	1.0	2.0	3.0	2.0	1.0			
microsoft visual studio	2.0	2	1	2.0	2.0	3.0	2.0	2.0	2.0	2.0	
web browser	2.0	2	2	2.0	1.0	1.0					
floppy disk	3.0	2	1	0.0	1.0	1.0	2.0				
expansion card	3.0	0	3	1.0	1.0	0.0					
chipset	3.0	0	0	2.0	2.0	1.0					
pc card	3.0	2	2	0.0	3.0	3.0	2.0				
operating system	3.0	2	2	2.0	3.0	3.0					
flash memory	3.0	2	2	2.0	3.0	3.0	2.0	3.0	1.0	1.0	3.0
bios	3.0	1	1	1.0	1.0	1.0	1.0	0.0			
solid-state drive	3.0	1	2	1.0	2.0	3.0	1.0	2.0	1.0		
motherboard	3.0	2	2	2.0	2.0	3.0	2.0	3.0			
hard disk drive	3.0	2	0	1.0	1.0	3.0	2.0	2.0	3.0		
desktop computer	3.0	3	1	3.0	3.0	3.0	3.0	2.0			
personal computer	3.0	2	3	1.0	3.0	1.0	2.0				
usb flash drive	3.0	2	2	2.0	1.0	1.0					
video card	3.0	2	3	0.0	3.0	1.0					
hdmi	3.0	1	1	2.0	1.0	1.0	1.0				
microprocessor	3.0	3	1	3.0	2.0						
microcontroller	3.0	1	3	2.0	0.0	1.0					
compactflash	3.0	0	0	3.0	2.0						
usb	3.0	2	3	3.0	2.0	1.0	2.0	2.0			
wii u	4.0	2	1	1.0	2.0						
xbox one	4.0	3	2	2.0	1.0	1.0	3.0	3.0			
dreamcast	4.0	2	2	2.0	1.0	1.0	1.0				
gamecube	4.0	2	2	1.0	1.0	3.0	2.0	2.0			
xbox 360	4.0	2	3	2.0	3.0	3.0	3.0				
playstation 2	4.0	0	0	0.0	3.0						
playstation vita	4.0	0	2	2.0	0.0	3.0	1.0				
playstation portable	4.0	2	2	1.0	0.0	1.0	2.0	2.0	2.0	2.0	
playstation 4	4.0	2	1	0.0	2.0	2.0	3.0				
virtual console	4.0	1	3	2.0	2.0	1.0	3.0				
playstation	4.0	0	1	2.0	3.0	1.0	0.0				
playstation (console)	4.0	2	2	0.0	3.0	1.0	3.0				
nintendo 3ds	4.0	2	2	2.0	1.0	0.0	3.0	3.0	2.0		
nintendo ds	4.0	2	2	1.0							
nintendo 64	4.0	2	2	2.0	1.0	1.0	2.0	1.0	3.0	1.0	
wii	4.0	2	3	2.0	3.0	3.0					
xbox (console)	4.0	3	2	3.0	2.0	2.0	1.0	1.0			
video game console	4.0	3	3	2.0	2.0	3.0	2.0	3.0			
playstation 3	4.0	2	2	3.0	1.0	1.0					
independent politician	5.0	3	2	1.0	3.0	1.0	1.0	2.0			
state senator	5.0	1	3	1.0	2.0						
election	5.0	3	3	3.0	2.0	1.0	1.0	2.0			
majority leader	5.0	2	2	2.0	1.0	2.0	2.0	1.0	2.0		
ballot	5.0	2	3	3.0	0.0	2.0	2.0	1.0	1.0		
congressional district	5.0	3	1	1.0	2.0	1.0	1.0	1.0	2.0		
electoral college	5.0	2	3	3.0	3.0	1.0					
minor party	5.0	0	1	2.0	1.0	2.0	2.0	1.0	2.0		
electoral college (united states)	5.0	0	1	2.0	3.0	1.0	1.0	3.0			
faithless elector	5.0	1	1	2.0							
by-election	5.0	3	2	2.0	3.0	2.0	2.0	2.0	2.0		
incumbent	5.0	1	1	2.0	0.0	0.0	0.0				
conservative democrat	5.0	1	2	1.0	1.0	1.0	2.0				
general election	5.0	3	1	3.0	3.0	3.0	1.0	3.0			
primary election	5.0	2	2	2.0	3.0	1.0	2.0	2.0			
write-in candidate	5.0	2	2	2.0	1.0	1.0	2.0	2.0			
democratic party (united states)	5.0	0	0	3.0	3.0	3.0					
independent democrat	5.0	1	2	0.0	3.0	0.0					
running mate	5.0	1	1	2.0	2.0	3.0	3.0	0.0	2.0	3.0	
hospital	6.0	3	2	2.0	3.0	1.0	2.0	3.0	3.0		
pain management	6.0	1	2	1.0	1.0	2.0	1.0	1.0			
patient	6.0	2	2	1.0	3.0						
surgery	6.0	2	2	2.0	1.0	1.0	0.0				
primary care	6.0	1	1	0.0	1.0	3.0					
intensive care unit	6.0	2	2	2.0	2.0	1.0	1.0	3.0			
rheumatology	6.0	2	1	1.0	1.0						
mental health	6.0	1	2	2.0	1.0	2.0	3.0				
pathology	6.0	1	2	3.0	0.0	1.0					
health	6.0	3	2	1.0	1.0	2.0	3.0	3.0	2.0		
psychiatry	6.0	2	2	2.0	1.0	3.0	1.0	1.0	1.0	0.0	
medicine	6.0	3	3	3.0	3.0	3.0					
neurology	6.0	2	2	2.0	1.0	2.0	2.0	3.0			
oncology	6.0	3	3	3.0	1.0	3.0	3.0	2.0			
tuberculosis	6.0	2	2	1.0	1.0	1.0					
cancer	6.0	3	2	1.0	3.0	2.0	2.0	3.0			
geriatrics	6.0	0	0	2.0	1.0	1.0	0.0				
palliative care	6.0	1	2	1.0	0.0	0.0					
nephrology	6.0	2	1	0.0	3.0						
sauce	7.0	3	1	1.0	2.0	1.0	2.0	2.0	0.0	2.0	
tomato sauce	7.0	1	1	2.0	2.0	2.0	3.0	2.0			
soup	7.0	0	0	3.0	3.0	3.0	2.0	0.0			
salad	7.0	1	2	1.0	1.0	1.0	0.0				
offal	7.0	1	1	2.0	1.0	2.0	1.0	0.0			
bread	7.0	1	2	2.0	2.0	1.0	1.0	1.0	2.0	1.0	0.0
broth	7.0	1	2	1.0	2.0	2.0					
cooking	7.0	3	2	3.0	3.0	3.0	2.0				
yogurt	7.0	0	0	1.0	2.0	1.0					
steak	7.0	1	2	3.0	2.0	1.0	0.0	1.0	0.0		
pasta	7.0	2	3	3.0	0.0						
gravy	7.0	0	1	0.0	3.0	3.0	2.0	3.0	1.0		
sausage	7.0	3	2	1.0	1.0	2.0	0.0	2.0			
barbecue sauce	7.0	2	3	2.0	3.0						
condiment	7.0	2	1	1.0	3.0	2.0	0.0	0.0			
dessert	7.0	3	1	0.0	1.0	0.0	2.0				
mayonnaise	7.0	1	2	1.0	2.0	2.0	1.0				
french fries	7.0	0	2	0.0	1.0	0.0	0.0				
potato	7.0	1	1	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
sanctification	8.0	1	2	1.0	1.0	2.0	2.0				
son of god	8.0	3	3	2.0	1.0	2.0	1.0	3.0			
christ	8.0	3	2	2.0	1.0	2.0	1.0				
eucharist	8.0	0	3	1.0	1.0						
salvation (christianity)	8.0	0	0	3.0	3.0	3.0	1.0	3.0	0.0		
mary (mother of jesus)	8.0	3	2	3.0	0.0	3.0	1.0	1.0	1.0	3.0	
holy spirit (christian denominational variations)	8.0	3	1	0.0	2.0	2.0	2.0				
infant baptism	8.0	3	1	1.0	0.0	3.0	1.0				
catholicism	8.0	3	2	3.0	1.0	2.0	2.0				
holy spirit (christianity)	8.0	0	3	2.0	2.0	3.0					
john the baptist	8.0	2	2	0.0	1.0	2.0	1.0	1.0			
baptism	8.0	2	3	2.0	3.0	3.0					
faith	8.0	1	3	3.0	3.0	2.0	3.0	3.0			
christian theology	8.0	1	3	3.0	3.0	3.0	3.0	1.0			
sacrament	8.0	1	1	2.0	3.0	3.0	3.0	1.0	2.0		
jesus	8.0	0	3	1.0	3.0	3.0	1.0				
god the father	8.0	1	2	1.0	3.0	3.0	3.0	1.0			
christian church	8.0	3	3	1.0	3.0	1.0					
christianity	8.0	3	3	3.0	3.0	3.0	2.0	3.0	1.0		
olympic gold	9.0	3	2	1.0	3.0	3.0	3.0				
summer olympic games	9.0	3	2	1.0	3.0	2.0	3.0	2.0			
winter olympic games	9.0	2	3	2.0	3.0	3.0	1.0				
gold medal	9.0	1	3	2.0	3.0	3.0	1.0	0.0			
2008 summer olympics	9.0	3	3	2.0	2.0						
1996 summer olympics	9.0	1	2	3.0	2.0	1.0	2.0	2.0	2.0	2.0	
commonwealth games	9.0	2	2	1.0							
olympic sports	9.0	2	3	2.0	1.0	3.0	3.0	3.0			
paralympic games	9.0	0	1	2.0	2.0	1.0	3.0				
asian games	9.0	1	2	1.0	2.0	2.0	1.0				
chinese taipei	9.0	2	1	2.0	3.0	0.0					
demonstration sport	9.0	1	0	1.0							
2000 summer olympics	9.0	2	3	0.0	1.0	2.0	0.0				
silver medal	9.0	2	2	1.0	1.0	2.0	2.0	2.0			
2004 summer olympics	9.0	3	3	3.0	2.0	1.0	3.0				
olympic games	9.0	2	1	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0
olympic medal	9.0	0	0	2.0	2.0	3.0					
1948 summer olympics	9.0	1	1	1.0	3.0	1.0	1.0				
2012 summer olympics	9.0	1	3	3.0							
joe biden	10.0	0	0	3.0							
john mccain	10.0	3	1	3.0	3.0	0.0	1.0	2.0			
michael dukakis	10.0	2	1	0.0	2.0	0.0	0.0				
bill clinton	10.0	1	1	0.0	1.0						
democratic senatorial campaign committee	10.0	0	2	2.0	1.0	2.0	1.0	2.0	1.0		
running mate	10.0	2	1	2.0	2.0	1.0	2.0	0.0			
democratic leadership council	10.0	1	1	1.0	1.0	0.0	2.0				
presidential nominee	10.0	0	0	1.0	1.0	1.0					
democratic party (united states)	10.0	1	3	1.0	0.0	0.0	2.0	1.0	1.0	2.0	
hillary clinton	10.0	3	0	0.0	1.0	1.0	0.0	2.0	1.0		
joe lieberman	10.0	1	1	2.0	2.0	1.0	0.0				
state senator	10.0	1	2	1.0	2.0	2.0	1.0	1.0			
howard dean	10.0	1	1	1.0	1.0	0.0					
walter mondale	10.0	1	0	0.0	0.0	1.0					
conservative democrat	10.0	2	3	2.0	2.0	3.0					
mitt romney	10.0	1	1	1.0	1.0	1.0	2.0	1.0	2.0		
john kerry	10.0	2	1	1.0	2.0	2.0	2.0	3.0			
state treasurer	10.0	1	1	2.0	1.0	1.0	0.0	0.0	0.0	0.0	
sarah palin	10.0	3	3	2.0	2.0	3.0	3.0	3.0			
shades of green	11.0	1	1	1.0	0.0	1.0	1.0	1.0	2.0	2.0	2.0
blue	11.0	3	3	3.0	1.0	1.0					
white	11.0	1	2	1.0	2.0	1.0	2.0				
black	11.0	2	2	3.0	2.0	2.0	1.0				
purple	11.0	0	1	2.0	1.0	0.0					
green	11.0	2	2	2.0	2.0	0.0					
yellow	11.0	1	1	0.0	1.0	2.0	3.0	2.0			
bright red	11.0	1	1	0.0	1.0	1.0	1.0	1.0			
color	11.0	0	2	1.0	2.0	3.0	2.0	3.0			
grey	11.0	1	2	0.0	1.0	3.0	1.0	1.0	2.0	1.0	
brown	11.0	0	1	1.0	1.0	1.0	1.0	1.0			
pink	11.0	1	3	1.0	1.0	1.0	0.0	0.0	0.0	1.0	
dark purple	11.0	0	0	2.0	1.0	0.0	1.0	1.0	0.0		
violet (color)	11.0	0	0	2.0	1.0	3.0	2.0	0.0			
beige	11.0	1	1	1.0	1.0	0.0					
red	11.0	1	1	1.0	2.0	2.0	3.0	3.0	1.0		
blue-green	11.0	0	0	2.0	1.0						
light blue	11.0	1	2	1.0	3.0	2.0					
cream (colour)	11.0	3	0	0.0	3.0	3.0					
investment banking	12.0	3	2	1.0	3.0	2.0	3.0	1.0			
subprime mortgage crisis	12.0	2	1	2.0	3.0	3.0	3.0	1.0	2.0		
deposit insurance	12.0	3	3	2.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
debt crisis	12.0	1	0	0.0	3.0	1.0					
citigroup	12.0	1	0	2.0	1.0	1.0					
great recession	12.0	2	3	2.0	3.0	3.0	1.0	2.0	2.0	2.0	2.0
central bank	12.0	1	2	2.0	3.0	3.0	2.0	2.0	0.0		
capital market	12.0	3	2	2.0	2.0	3.0	1.0	2.0	3.0		
financial crisis	12.0	2	2	2.0	3.0	3.0	3.0				
bank of america	12.0	1	2	1.0	1.0						
liquidity crisis	12.0	1	2	3.0	3.0	2.0	2.0	1.0	0.0		
troubled asset relief program	12.0	1	0	1.0	0.0	2.0	1.0	2.0	2.0	1.0	
refinancing	12.0	1	3	3.0	2.0	2.0	3.0	3.0	2.0	3.0	
goldman sachs	12.0	2	3	0.0	2.0	2.0	1.0	1.0	1.0	1.0	
federal deposit insurance corporation	12.0	1	0	0.0	3.0	2.0	3.0	0.0			
jpmorgan chase	12.0	0	0	2.0	1.0	1.0	3.0	1.0			
government debt	12.0	0	0	2.0	3.0	2.0	2.0	3.0	0.0		
financial services	12.0	2	2	2.0	3.0	2.0	2.0	1.0	2.0	3.0	
investment	12.0	1	2	2.0	2.0	1.0	2.0	2.0	3.0		
basal metabolic rate	13.0	3	1	1.0	3.0	0.0	0.0				
weight loss	13.0	3	2	2.0	2.0						
meat	13.0	1	1	1.0	0.0	1.0	2.0	0.0			
food energy	13.0	2	2	1.0							
dietary fiber	13.0	2	2	3.0	2.0	1.0	2.0	2.0	1.0		
appetite	13.0	1	3	2.0	3.0	2.0	1.0	2.0			
weight management	13.0	3	3	3.0	2.0	3.0	2.0	1.0			
dieting	13.0	3	3	3.0	2.0	3.0					
diet (nutrition)	13.0	3	1	2.0	2.0	3.0	3.0	2.0			
obesity	13.0	3	1	3.0	3.0	1.0	2.0				
glycemic index	13.0	3	2	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
eating	13.0	3	2	1.0	2.0	2.0	3.0	2.0			
healthy diet	13.0	2	1	2.0	3.0	1.0					
weight gain	13.0	2	2	2.0	2.0	1.0	2.0				
high-protein diet	13.0	2	2	2.0	1.0	0.0					
nutrition	13.0	0	2	2.0							
insulin resistance	13.0	2	2	2.0	1.0	1.0	1.0				
malnutrition	13.0	0	2	1.0	0.0	0.0					
saturated fat	13.0	2	2	2.0	2.0	2.0					
brake	14.0	1	1	2.0	0.0	1.0	1.0	2.0	2.0		
turbocharger	14.0	1	2	1.0	2.0						
landing gear	14.0	0	1	1.0	3.0	1.0					
power steering	14.0	1	1	2.0	3.0	1.0	1.0				
front-wheel drive	14.0	2	2	2.0	2.0	2.0					
supercharger	14.0	2	1	1.0	2.0	3.0	0.0	0.0			
drive shaft	14.0	1	3	1.0	2.0	2.0	0.0	1.0			
diesel engine	14.0	1	0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	
manual transmission	14.0	1	2	1.0	1.0	3.0	1.0	2.0			
v8 engine	14.0	2	2	2.0	2.0	0.0	1.0	1.0			
transaxle	14.0	2	1	0.0	1.0	1.0	0.0				
air suspension	14.0	1	3	2.0	2.0	2.0	1.0	1.0	1.0	2.0	2.0
engine	14.0	2	3	2.0	3.0	3.0	0.0	1.0			
automatic transmission	14.0	2	2	3.0	1.0	3.0					
drivetrain	14.0	2	2	1.0	0.0	2.0	2.0	2.0	0.0		
four-wheel drive	14.0	2	1	2.0	2.0	2.0	1.0				
honda civic (ninth generation)	14.0	1	1	1.0							
axle	14.0	0	1	1.0	0.0	1.0					
steering wheel	14.0	2	1	1.0	3.0	1.0					
internet	15.0	2	3	2.0	3.0	3.0					
social media	15.0	1	2	3.0	1.0	3.0	1.0				
web portal	15.0	3	2	2.0	3.0	2.0	1.0	2.0			
google search	15.0	3	2	2.0	1.0	3.0	1.0				
mobile app	15.0	3	1	2.0	3.0	1.0	2.0	2.0	2.0	3.0	
website	15.0	2	3	1.0	3.0	1.0					
web browser	15.0	2	2	2.0	3.0	3.0					
user-generated content	15.0	2	2	2.0	2.0	2.0	3.0				
flickr	15.0	2	2	2.0	1.0	0.0	2.0	0.0			
web content	15.0	2	2	2.0	1.0	2.0	2.0				
social bookmarking	15.0	2	1	2.0	1.0	3.0	2.0	3.0	1.0		
home page	15.0	3	2	1.0	2.0	1.0	1.0				
google analytics	15.0	3	1	3.0	2.0	3.0	2.0				
gmail	15.0	2	2	1.0	3.0	1.0	2.0	2.0	1.0		
social networking service	15.0	2	3	2.0	2.0	2.0	2.0	1.0			
facebook	15.0	3	0	2.0	2.0	2.0					
adsense	15.0	2	2	2.0	2.0	3.0	2.0				
yahoo!	15.0	1	3	1.0	2.0	2.0	1.0				
web 2.0	15.0	1	2	1.0	1.0	1.0	1.0	2.0	2.0	3.0	1.0
liquefied natural gas	16.0	1	2	2.0	3.0	1.0	2.0				
biofuel	16.0	1	2	2.0	2.0	2.0	2.0	3.0			
petroleum	16.0	3	0	0.0	3.0	3.0	3.0				
diesel fuel	16.0	1	2	2.0	3.0	1.0	3.0				
alternative fuel	16.0	2	2	1.0	3.0	2.0	1.0				
sustainable energy	16.0	1	2	3.0	1.0						
renewable energy	16.0	1	1	0.0	2.0	0.0					
energy development	16.0	2	2	2.0	2.0	3.0	2.0	2.0			
carbon capture and storage	16.0	1	1	2.0	2.0	2.0	2.0				
fossil fuel	16.0	2	1	1.0	3.0	3.0	2.0				
electricity generation	16.0	0	2	3.0	3.0	2.0	0.0				
carbon dioxide	16.0	0	2	0.0	1.0	2.0					
cogeneration	16.0	1	0	2.0	1.0	1.0	1.0	2.0			
natural gas	16.0	3	2	3.0	2.0	3.0	2.0				
enhanced oil recovery	16.0	2	1	2.0	1.0	1.0	1.0	1.0	2.0		
biomass	16.0	2	2	2.0	1.0	3.0					
oil sands	16.0	1	2	1.0	0.0	1.0	1.0				
combined cycle	16.0	1	3	3.0	1.0	0.0	1.0				
alternative energy	16.0	1	2	3.0	3.0	3.0	1.0	2.0			
transcription factor	17.0	2	2	2.0	1.0	1.0	1.0	3.0			
alternative splicing	17.0	2	0	1.0	0.0	0.0	0.0				
actin	17.0	1	1	1.0	2.0	1.0	2.0	0.0			
apoptosis	17.0	3	2	0.0	2.0	2.0					
dna methylation	17.0	1	2	0.0	2.0	2.0					
signal transduction	17.0	2	1	0.0	0.0	3.0	0.0	1.0	0.0		
microrna	17.0	1	2	1.0	1.0	1.0	2.0				
nf-κb	17.0	1	0	1.0	1.0	0.0	0.0	0.0			
survivin	17.0	0	1	0.0	1.0	1.0	0.0				
long non-coding rna	17.0	1	2	1.0	1.0	2.0	2.0	1.0			
gene product	17.0	1	2	1.0	1.0	3.0	2.0				
telomerase	17.0	2	1	2.0	2.0	2.0					
dna repair	17.0	1	1	2.0	1.0	3.0	2.0	3.0	2.0		
mutation	17.0	2	2	2.0	2.0	2.0	1.0	1.0			
beta-catenin	17.0	1	3	2.0	1.0	2.0					
cell growth	17.0	0	2	2.0	0.0	2.0					
gene expression	17.0	2	3	2.0	2.0						
carcinogenesis	17.0	1	1	2.0	2.0	1.0	3.0				
p53	17.0	1	2	0.0	1.0	1.0	2.0	0.0	0.0		
ipad	18.0	2	2	2.0	0.0	3.0	2.0				
mobile device	18.0	3	2	3.0	3.0	3.0	1.0	3.0			
google talk	18.0	0	0	3.0	2.0	3.0					
skype	18.0	2	2	2.0	1.0	2.0	1.0	2.0	2.0		
gmail	18.0	3	3	0.0	0.0	1.0	0.0				
windows mobile	18.0	1	2	0.0	2.0	2.0	3.0	2.0	1.0	3.0	1.0
windows phone	18.0	0	0	3.0	1.0	1.0	2.0	0.0			
google voice	18.0	1	2	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0
windows phone 7	18.0	0	3	3.0	1.0	1.0	3.0				
google play	18.0	1	2	3.0	2.0	1.0	1.0	2.0	1.0	2.0	
mobile web	18.0	2	3	3.0	2.0	3.0	2.0	2.0	2.0		
mobile app	18.0	3	3	1.0	0.0	2.0	1.0				
ipod touch	18.0	1	1	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0
android (operating system)	18.0	2	3	2.0	3.0	0.0					
ios	18.0	1	2	1.0	2.0						
iphone	18.0	1	3	2.0	1.0						
web browser	18.0	1	1	3.0	1.0	2.0	2.0	2.0			
smartphone	18.0	3	3	3.0	3.0	2.0	2.0	3.0	2.0		
mobile phone	18.0	2	3	2.0	3.0	2.0	3.0	2.0	3.0		
third album	19.0	3	2	2.0	1.0	1.0					
rhythm section	19.0	2	1	2.0	2.0	2.0	1.0				
guitar solo	19.0	1	3	2.0	1.0	3.0	2.0	1.0			
funk	19.0	0	2	1.0	1.0	2.0	2.0	0.0	0.0		
lead vocalist	19.0	2	1	1.0	1.0	2.0	2.0	2.0	1.0	1.0	2.0
rock music	19.0	3	2	3.0	2.0	3.0	2.0	3.0	2.0	2.0	
the beat (american band)	19.0	1	2	1.0	1.0	2.0					
electric guitar	19.0	2	2	1.0	2.0	3.0	1.0				
cover version	19.0	1	1	2.0	1.0	2.0					
the band	19.0	3	0	2.0	2.0	3.0	3.0				
progressive rock	19.0	2	2	2.0	1.0	1.0	0.0	3.0			
synthpop	19.0	2	1	3.0	1.0	2.0	0.0	1.0			
some songs	19.0	0	2	1.0	2.0						
pop music	19.0	0	0	1.0	1.0						
one song	19.0	2	1	1.0	3.0	1.0	2.0	0.0	1.0	1.0	
cover songs	19.0	1	3	1.0	3.0	1.0	1.0	0.0			
album	19.0	3	3	2.0	2.0	3.0	2.0				
heavy metal music	19.0	2	1	3.0	1.0	2.0	2.0	2.0	2.0		
love songs (nat king cole album)	19.0	3	1	1.0							
no-hitter	20.0	2	2	1.0	3.0	1.0					
andruw jones	20.0	2	1	2.0	2.0	3.0	0.0	0.0	2.0	1.0	
world series	20.0	0	3	2.0							
alfonso soriano	20.0	2	2	0.0	1.0	2.0					
scoring position	20.0	1	1	1.0	2.0	1.0	2.0				
brooklyn dodgers (basketball)	20.0	1	1	3.0	2.0						
extra innings	20.0	0	2	2.0	1.0	2.0					
home run	20.0	1	2	1.0	3.0	2.0					
opening day	20.0	2	2	0.0	1.0	1.0	0.0				
starting lineup	20.0	2	1	2.0	1.0	0.0	3.0	1.0	3.0	2.0	
playoffs	20.0	3	3	1.0	3.0	2.0	2.0	3.0	2.0		
shutout	20.0	2	1	1.0	1.0	0.0	0.0				
championship	20.0	0	2	0.0	0.0						
new york yankees	20.0	2	2	2.0	3.0	0.0	0.0				
inning	20.0	1	2	1.0	2.0	1.0	2.0				
complete game	20.0	3	2	1.0	1.0	1.0	1.0	2.0	3.0		
perfect season	20.0	1	2	3.0	2.0	2.0	1.0	1.0	1.0	2.0	
exhibition game	20.0	1	1	3.0	1.0	1.0					
all-star game	20.0	1	2	2.0	3.0	2.0	2.0	1.0	1.0		
marriage	21.0	3	1	0.0	0.0	1.0	1.0	3.0			
his family	21.0	2	1	2.0	1.0	2.0	2.0	2.0	3.0		
son	21.0	0	2	2.0	0.0						
husband	21.0	1	2	1.0	1.0	3.0					
their son	21.0	0	0	1.0	2.0	1.0					
uncle	21.0	0	0	3.0	0.0	2.0	0.0				
only child	21.0	1	3	1.0	0.0	1.0	1.0	1.0			
sisters (tv series)	21.0	0	2	2.0	2.0	2.0	0.0	2.0	2.0		
sister	21.0	2	2	2.0	3.0	2.0	1.0	2.0	1.0		
father	21.0	1	2	3.0	2.0	3.0	1.0	3.0	1.0		
mother	21.0	0	3	0.0	3.0	3.0					
grandchild	21.0	1	2	1.0	1.0	1.0	1.0	1.0			
cousin	21.0	1	1	1.0	1.0	3.0	1.0	1.0	3.0	1.0	
youngest son	21.0	2	3	2.0	1.0	1.0					
wife	21.0	1	1	1.0	2.0	1.0	2.0	2.0			
daughter	21.0	2	3	3.0	2.0	1.0	1.0	1.0	1.0		
the youngest son	21.0	1	1	1.0	1.0	2.0	1.0	2.0			
aunt	21.0	2	1	2.0	2.0	1.0	2.0				
brother	21.0	3	3	2.0	2.0	3.0					
criminal procedure	22.0	3	0	0.0	2.0	3.0	1.0				
state prosecutor	22.0	3	1	2.0	2.0	2.0	2.0				
attorney general	22.0	2	1	3.0	2.0	1.0	1.0	0.0	1.0		
supreme court	22.0	3	1	2.0	0.0	3.0					
prosecutor	22.0	2	2	3.0	0.0	1.0	1.0				
grand jury	22.0	2	3	2.0	2.0	3.0					
indictment	22.0	1	3	2.0	1.0	2.0	3.0	2.0			
federal court	22.0	0	3	0.0	2.0	2.0	0.0				
jury trial	22.0	3	1	2.0	3.0	2.0	2.0	3.0			
criminal law	22.0	2	3	3.0	2.0	3.0	3.0	3.0	2.0	1.0	
acquittal	22.0	1	2	3.0	3.0	3.0	2.0	2.0	2.0	2.0	
state court (united states)	22.0	3	2	3.0	2.0	0.0					
magistrate (england and wales)	22.0	3	2	2.0	1.0	0.0	1.0				
superior court	22.0	3	2	2.0	2.0	2.0	2.0				
director of public prosecutions	22.0	1	2	2.0	3.0	2.0	1.0	1.0			
